"first_name","last_name","email",year,month,day
"Abraham","Anderson","a.anderson@randatmail.com",2006,10,23
"Steven","Moore","s.moore@randatmail.com",1984,11,17
"Sofia","Robinson","s.robinson@randatmail.com",2006,8,18
"Aiden","Kelly","a.kelly@randatmail.com",2005,12,2
"Ryan","Crawford","r.crawford@randatmail.com",2006,4,7
"Vivian","Murray","v.murray@randatmail.com",1969,6,30
"Natalie","Cooper","n.cooper@randatmail.com",1969,5,20
"Rosie","Barnes","r.barnes@randatmail.com",2001,5,24
"Kate","Murphy","k.murphy@randatmail.com",1963,11,7
"Rubie","Scott","r.scott@randatmail.com",1991,4,29
"Camila","Barnes","c.barnes@randatmail.com",1993,7,13
"Natalie","Harrison","n.harrison@randatmail.com",1976,9,10
"Amber","Thompson","a.thompson@randatmail.com",2005,7,15
"Adele","Roberts","a.roberts@randatmail.com",1993,10,19
"Alen","Campbell","a.campbell@randatmail.com",1976,10,10
"Samantha","Stewart","s.stewart@randatmail.com",1961,5,5
"Sophia","Perry","s.perry@randatmail.com",1973,2,1
"Jared","Owens","j.owens@randatmail.com",1996,4,25
"Tess","Myers","t.myers@randatmail.com",1992,5,30
"Frederick","Roberts","f.roberts@randatmail.com",1979,12,4
"Jules","Schuckruts",jschuck@gmail.com,1967,1,28
